column,dtype,description,source,transformation,availability_at_prediction_time,modeling_role,included_in_analytical,included_in_model_ready,notes
port_call_id,int64,Unique source DUV identifier of the consolidated vessel port call.,Porto Sem Papel vessel-stay records,Cleaned and standardized identifier retained from the source records.,not_applicable,identifier,True,True,Taken from the public DUV field and used as the stable one-row-per-call key after deterministic grouping.
port,string,"Brazilian port code where the vessel call occurred, standardized from the source bitrigrama field.",Porto Sem Papel vessel-stay records,Standardized from the Porto - Bitrigrama field in the vessel-stay source.,yes,feature,True,True,Included in the model-ready dataset as an official arrival-time predictor.
port_name,string,Port name reported in the vessel-stay source record.,Porto Sem Papel vessel-stay records,Cleaned from the Porto - Nome field in the vessel-stay source.,not_applicable,identifier,True,False,Identifier or label; use carefully in modeling.
imo,string,IMO vessel identifier when available in the public source.,Porto Sem Papel vessel-stay records,Cleaned and standardized identifier retained from the source records.,not_applicable,identifier,True,False,Identifier or label; use carefully in modeling.
vessel_id,string,Vessel registration identifier from the public source.,Porto Sem Papel vessel-stay records,Cleaned and standardized identifier retained from the source records.,not_applicable,identifier,True,False,Identifier or label; use carefully in modeling.
vessel_name,string,Vessel name as reported in the public source.,Porto Sem Papel vessel-stay records,Cleaned and standardized identifier retained from the source records.,not_applicable,identifier,True,False,Identifier or label; use carefully in modeling.
operation_type,string,"Declared operation motives for the port call, such as loading, unloading, anchorage, bunker, passenger, offshore, or maintenance.",Porto Sem Papel vessel-stay records,"Cleaned, standardized, or joined field from the project preparation pipeline.",yes,eda_only,True,False,
source_port,string,Reported previous port code for the vessel call.,Porto Sem Papel vessel-stay records,Cleaned and standardized identifier retained from the source records.,not_applicable,identifier,True,False,Identifier or label; use carefully in modeling.
source_port_name,string,Reported previous port name for the vessel call.,Porto Sem Papel vessel-stay records,Cleaned and standardized identifier retained from the source records.,not_applicable,identifier,True,False,Identifier or label; use carefully in modeling.
destination_port,string,Reported next port code for the vessel call.,Porto Sem Papel vessel-stay records,Cleaned and standardized identifier retained from the source records.,not_applicable,identifier,True,False,Identifier or label; use carefully in modeling.
destination_port_name,string,Reported next port name for the vessel call.,Porto Sem Papel vessel-stay records,Cleaned and standardized identifier retained from the source records.,not_applicable,identifier,True,False,Identifier or label; use carefully in modeling.
arrival_port_ts,datetime64[ns],Timestamp when the vessel arrived at the port; this is the prediction reference time.,Porto Sem Papel vessel-stay records,Parsed arrival timestamp from vessel-stay records and converted to local wall time.,yes,metadata,True,True,Prediction timestamp. Features in the model-ready dataset are interpreted relative to this instant.
berthing_ts,datetime64[ns],Timestamp when the vessel berthed after arrival.,Porto Sem Papel vessel-stay records,Parsed timestamp from vessel-stay records; consolidated using first/last event rules.,no,leakage_do_not_use,True,False,Do not use as a predictor for arrival-time modeling; retained only when useful for EDA or internal audit.
